Movies,Domestic,International,Worldwild,Distributor,Opening,Budget,Release_Date,MPAA,Runing_Time,Genres
Unstoppable,"$81,562,942","$86,242,524","$167,805,466",Twentieth Century Fox,"$22,688,457","$100,000,000","Nov 12, 2010",PG-13,1 hr 38 min,"Action
    
        Thriller"
Bucky Larson: Born to Be a Star,"$2,529,395",$999,"$2,530,394",Sony Pictures Entertainment (SPE),"$1,415,023","$10,000,000","Sep 9, 2011",R,1 hr 37 min,Comedy
The Illusionist,"$2,231,474","$3,775,720","$6,007,194",Sony Pictures Classics,"$38,594","$17,000,000","Dec 25, 2010",PG,1 hr 30 min,"Animation
    
        Drama
    
        Fantasy"
Incendies,"$2,071,334","$4,717,325","$6,788,659",Sony Pictures Classics,"$50,679","$6,800,000","Apr 22, 2011",R,2 hr 11 min,"Drama
    
        Mystery
    
        War"
The Way Back,"$2,701,859","$21,470,342","$24,172,201",Newmarket Films,"$1,218,868","$30,000,000","Jan 21, 2011",PG-13,2 hr 13 min,"Adventure
    
        Drama
    
        History"
Everything Must Go,"$2,711,643","$108,847","$2,820,490",Roadside Attractions,"$791,676","$5,000,000","May 13, 2011",R,1 hr 37 min,Drama
Another Year,"$3,205,706","$16,517,060","$19,722,766",Sony Pictures Classics,"$111,869","$8,000,000","Dec 29, 2010",PG-13,2 hr 9 min,"Comedy
    
        Drama"
Into the Woods,"$128,002,372","$84,900,000","$212,902,372",Walt Disney Studios Motion Pictures,"$31,051,923","$50,000,000","Dec 25, 2014",PG,2 hr 5 min,"Adventure
    
        Comedy
    
        Drama
    
        Fantasy
    
        Musical"
The King's Speech,"$3,344,306","$30,909","$3,375,215",The Weinstein Company,"$1,133,162","$15,000,000","Apr 1, 2011",R,1 hr 58 min,"Biography
    
        Drama
    
        History"
Think Like a Man Too,"$65,182,182","$4,999,246","$70,181,428",Screen Gems,"$29,241,911","$24,000,000","Jun 20, 2014",PG-13,1 hr 46 min,"Comedy
    
        Romance"
The Nut Job,"$64,251,541","$56,633,986","$120,885,527",Open Road Films (II),"$19,423,000","$42,000,000","Jan 17, 2014",PG,1 hr 25 min,"Adventure
    
        Animation
    
        Comedy
    
        Crime
    
        Family"
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","$66,954,149","$33,700,000","$100,654,149",Walt Disney Studios Motion Pictures,"$18,360,230","$28,000,000","Oct 10, 2014",PG,1 hr 21 min,"Comedy
    
        Drama
    
        Family
    
        Fantasy"
The Purge: Anarchy,"$71,962,800","$39,965,565","$111,928,365",Universal Pictures,"$29,816,675","$9,000,000","Jul 18, 2014",R,1 hr 43 min,"Action
    
        Horror
    
        Sci-Fi
    
        Thriller"
Hercules,"$72,688,614","$172,131,248","$244,819,862",Paramount Pictures,"$29,800,263","$100,000,000","Jul 25, 2014",PG-13,1 hr 38 min,"Action
    
        Adventure
    
        Fantasy"
The Wolf of Wall Street,"$116,900,694","$275,100,000","$392,000,694",Paramount Pictures,"$18,361,578","$100,000,000","Dec 25, 2013",R,3 hr,"Biography
    
        Comedy
    
        Crime
    
        Drama"
The Monuments Men,"$78,031,620","$77,610,030","$155,641,650",Sony Pictures Entertainment (SPE),"$22,003,433","$70,000,000","Feb 7, 2014",PG-13,1 hr 58 min,"Comedy
    
        Drama
    
        History
    
        War"
Penguins of Madagascar,"$83,850,911","$289,664,710","$373,515,621",Twentieth Century Fox,"$25,447,444","$132,000,000","Nov 26, 2014",PG,1 hr 32 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Sci-Fi"
Night at the Museum: Secret of the Tomb,"$113,746,621","$249,458,014","$363,204,635",Twentieth Century Fox,"$17,100,520","$127,000,000","Dec 19, 2014",PG,1 hr 38 min,"Adventure
    
        Comedy
    
        Family
    
        Fantasy"
The Other Woman,"$83,911,193","$112,799,203","$196,710,396",Twentieth Century Fox,"$24,763,752","$40,000,000","Apr 25, 2014",PG-13,1 hr 49 min,"Comedy
    
        Romance"
Let's Be Cops,"$82,390,774","$55,834,177","$138,224,951",Twentieth Century Fox,"$17,813,722","$17,000,000","Aug 13, 2014",R,1 hr 44 min,"Action
    
        Comedy
    
        Crime"
Annabelle,"$84,273,813","$172,773,848","$257,047,661",Warner Bros.,"$37,134,255","$6,500,000","Oct 3, 2014",R,1 hr 39 min,"Horror
    
        Mystery
    
        Thriller"
Dumb and Dumber To,"$86,208,010","$83,629,000","$169,837,010",Universal Pictures,"$36,111,775","$40,000,000","Nov 14, 2014",PG-13,1 hr 49 min,Comedy
Tammy,"$84,525,432","$15,850,000","$100,375,432",Warner Bros.,"$21,577,049","$20,000,000","Jul 2, 2014",R,1 hr 37 min,"Comedy
    
        Romance"
Fury,"$85,817,906","$126,000,000","$211,817,906",Sony Pictures Entertainment (SPE),"$23,702,421","$68,000,000","Oct 17, 2014",R,2 hr 14 min,"Action
    
        Drama
    
        War"
Heaven Is for Real,"$91,443,253","$10,444,766","$101,888,019",TriStar Pictures,"$22,522,221","$12,000,000","Apr 16, 2014",PG,1 hr 39 min,"Biography
    
        Drama
    
        Family"
Non-Stop,"$92,168,600","$130,641,000","$222,809,600",Universal Pictures,"$28,875,635","$50,000,000","Feb 28, 2014",PG-13,1 hr 46 min,"Action
    
        Mystery
    
        Thriller"
Edge of Tomorrow,"$100,206,256","$270,335,000","$370,541,256",Warner Bros.,"$28,760,246","$178,000,000","Jun 6, 2014",PG-13,1 hr 53 min,"Action
    
        Adventure
    
        Sci-Fi"
The Equalizer,"$101,530,738","$90,800,000","$192,330,738",Sony Pictures Entertainment (SPE),"$34,137,828","$55,000,000","Sep 26, 2014",R,2 hr 12 min,"Action
    
        Crime
    
        Thriller"
Noah,"$101,200,044","$258,000,000","$359,200,044",Paramount Pictures,"$43,720,472","$125,000,000","Mar 28, 2014",PG-13,2 hr 18 min,"Action
    
        Adventure
    
        Drama"
300: Rise of an Empire,"$106,580,051","$231,000,000","$337,580,051",Warner Bros.,"$45,038,460","$110,000,000","Mar 7, 2014",R,1 hr 42 min,"Action
    
        Drama"
The Maze Runner,"$102,427,862","$245,891,999","$348,319,861",Twentieth Century Fox,"$32,512,804","$34,000,000","Sep 19, 2014",PG-13,1 hr 53 min,"Action
    
        Mystery
    
        Sci-Fi
    
        Thriller"
Lucy,"$126,663,600","$332,200,000","$458,863,600",Universal Pictures,"$43,899,340","$40,000,000","Jul 25, 2014",R,1 hr 29 min,"Action
    
        Sci-Fi
    
        Thriller"
The Fault in Our Stars,"$124,872,350","$182,294,484","$307,166,834",Twentieth Century Fox,"$48,002,523","$12,000,000","Jun 6, 2014",PG-13,2 hr 6 min,"Drama
    
        Romance"
Mr. Peabody & Sherman,"$111,506,430","$164,191,609","$275,698,039",Twentieth Century Fox,"$32,207,057","$145,000,000","Mar 7, 2014",PG,1 hr 32 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy
    
        History
    
        Sci-Fi"
Ride Along,"$134,938,200","$19,530,702","$154,468,902",Universal Pictures,"$41,516,170","$25,000,000","Jan 17, 2014",PG-13,1 hr 39 min,"Action
    
        Comedy
    
        Crime"
Rio 2,"$131,538,435","$367,242,682","$498,781,117",Twentieth Century Fox,"$39,327,869","$103,000,000","Apr 11, 2014",G,1 hr 41 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Music
    
        Musical"
Neighbors,"$150,157,400","$120,507,734","$270,665,134",Universal Pictures,"$49,033,915","$18,000,000","May 9, 2014",R,1 hr 37 min,Comedy
Gone Girl,"$167,767,189","$201,563,174","$369,330,363",Twentieth Century Fox,"$37,513,109","$61,000,000","Oct 3, 2014",R,2 hr 29 min,"Drama
    
        Mystery
    
        Thriller"
Divergent,"$150,947,895","$137,937,923","$288,885,818",Lionsgate,"$54,607,747","$85,000,000","Mar 21, 2014",PG-13,2 hr 19 min,"Action
    
        Adventure
    
        Mystery
    
        Sci-Fi"
How to Train Your Dragon 2,"$177,002,924","$444,534,595","$621,537,519",Twentieth Century Fox,"$49,451,322","$145,000,000","Jun 13, 2014",PG,1 hr 42 min,"Action
    
        Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy"
Teenage Mutant Ninja Turtles,"$191,204,754","$293,800,000","$485,004,754",Paramount Pictures,"$65,575,105","$125,000,000","Aug 8, 2014",PG-13,1 hr 41 min,"Action
    
        Adventure
    
        Comedy
    
        Sci-Fi"
22 Jump Street,"$191,719,337","$139,614,539","$331,333,876",Sony Pictures Entertainment (SPE),"$57,071,445","$50,000,000","Jun 13, 2014",R,1 hr 52 min,"Action
    
        Comedy
    
        Crime"
Godzilla,"$200,676,069","$324,300,000","$524,976,069",Warner Bros.,"$93,188,384","$160,000,000","May 16, 2014",PG-13,2 hr 3 min,"Action
    
        Adventure
    
        Sci-Fi
    
        Thriller"
The Shallows,"$55,124,043","$63,976,715","$119,100,758",Sony Pictures Entertainment (SPE),"$16,800,868","$17,000,000","Jun 24, 2016",PG-13,1 hr 26 min,"Action
    
        Drama
    
        Horror
    
        Thriller"
The BFG,"$55,483,770","$139,759,641","$195,243,411",Walt Disney Studios Motion Pictures,"$18,775,350","$140,000,000","Jul 1, 2016",PG,1 hr 57 min,"Adventure
    
        Family
    
        Fantasy"
Passengers,"$100,014,699","$203,129,453","$303,144,152",Sony Pictures Entertainment (SPE),"$14,869,736","$110,000,000","Dec 21, 2016",PG-13,1 hr 56 min,"Drama
    
        Romance
    
        Sci-Fi
    
        Thriller"
Me Before You,"$56,245,075","$152,069,111","$208,314,186",Warner Bros.,"$18,723,269","$20,000,000","Jun 3, 2016",PG-13,1 hr 46 min,"Drama
    
        Romance"
The Social Network,"$96,962,694","$127,957,621","$224,920,315",Sony Pictures Entertainment (SPE),"$22,445,653","$40,000,000","Oct 1, 2010",PG-13,2 hr,"Biography
    
        Drama"
Anonymous,"$4,463,292","$10,931,795","$15,395,087",Sony Pictures Entertainment (SPE),"$1,021,768","$30,000,000","Oct 28, 2011",PG-13,2 hr 10 min,"Drama
    
        Thriller"
The Company Men,"$4,441,272","$3,645,728","$8,087,000",The Weinstein Company,"$647,797","$15,000,000","Jan 21, 2011",R,1 hr 44 min,Drama
Atlas Shrugged: Part I,"$4,627,375",,"$4,627,375",Rocky Mountain Pictures,"$1,677,000","$20,000,000","Apr 15, 2011",PG-13,1 hr 37 min,"Drama
    
        Mystery
    
        Sci-Fi"
Margin Call,"$5,354,039","$14,150,000","$19,504,039",Roadside Attractions,"$561,906","$3,500,000","Oct 21, 2011",R,1 hr 47 min,"Drama
    
        Thriller"
Megamind,"$148,415,853","$173,469,912","$321,885,765",DreamWorks,"$46,016,833","$130,000,000","Nov 5, 2010",PG,1 hr 35 min,"Action
    
        Animation
    
        Comedy
    
        Crime
    
        Family
    
        Mystery
    
        Sci-Fi
    
        Thriller"
Barney's Version,"$4,439,201","$7,665,564","$12,104,765",Sony Pictures Classics,"$65,241","$30,000,000","Jan 14, 2011",R,2 hr 14 min,"Comedy
    
        Drama"
Beginners,"$5,790,894","$8,520,807","$14,311,701",Focus Features,"$141,340","$3,200,000","Jun 3, 2011",R,1 hr 45 min,"Comedy
    
        Drama
    
        Romance"
The Big Year,"$7,204,138","$975,278","$8,179,416",Twentieth Century Fox,"$3,251,884","$41,000,000","Oct 14, 2011",PG,1 hr 42 min,Comedy
Johnny English Reborn,"$8,305,970","$151,772,616","$160,078,586",Universal Pictures,"$3,833,300","$45,000,000","Oct 21, 2011",PG,1 hr 41 min,"Action
    
        Adventure
    
        Comedy"
How Do You Know,"$30,212,620","$18,456,287","$48,668,907",Sony Pictures Entertainment (SPE),"$7,484,696","$120,000,000","Dec 17, 2010",PG-13,2 hr 1 min,"Comedy
    
        Drama
    
        Romance"
The Guard,"$5,360,274","$14,201,630","$19,561,904",Sony Pictures Classics,"$76,834","$6,000,000","Jul 29, 2011",R,1 hr 36 min,"Comedy
    
        Crime
    
        Thriller"
Blue Valentine,"$9,706,328","$5,186,090","$14,892,418",The Weinstein Company,"$193,728","$1,000,000","Dec 29, 2010",R,1 hr 52 min,"Drama
    
        Romance"
I Don't Know How She Does It,"$9,662,284","$21,747,867","$31,410,151",The Weinstein Company,"$4,402,201","$24,000,000","Sep 16, 2011",PG-13,1 hr 29 min,"Comedy
    
        Romance"
Straw Dogs,"$10,324,441","$844,271","$11,168,712",Screen Gems,"$5,123,760","$25,000,000","Sep 16, 2011",R,1 hr 50 min,"Action
    
        Drama
    
        Thriller"
Prom,"$10,130,219","$572,027","$10,702,246",Walt Disney Studios Motion Pictures,"$4,712,638","$8,000,000","Apr 29, 2011",PG,1 hr 44 min,"Comedy
    
        Drama
    
        Family
    
        Romance"
The Darkest Hour,"$21,443,494","$43,183,292","$64,626,786",Summit Entertainment,"$2,993,519","$30,000,000","Dec 25, 2011",PG-13,1 hr 29 min,"Action
    
        Adventure
    
        Horror
    
        Sci-Fi
    
        Thriller"
Glee: The 3D Concert Movie,"$11,862,398","$6,800,840","$18,663,238",Twentieth Century Fox,"$5,961,231","$9,000,000","Aug 12, 2011",PG,1 hr 24 min,"Documentary
    
        Music"
The Rum Diary,"$13,109,815","$17,025,143","$30,134,958",FilmDistrict,"$5,135,369","$45,000,000","Oct 28, 2011",R,1 hr 59 min,"Comedy
    
        Drama"
Warrior,"$13,657,115","$9,651,500","$23,308,615",Lionsgate,"$5,242,107","$25,000,000","Sep 9, 2011",PG-13,2 hr 20 min,"Action
    
        Drama
    
        Sport"
The Tree of Life,"$13,303,319","$45,105,928","$58,409,247",Fox Searchlight Pictures,"$372,920","$32,000,000","May 27, 2011",PG-13,2 hr 19 min,"Drama
    
        Fantasy"
The Conspirator,"$11,538,204","$4,084,979","$15,623,183",Roadside Attractions,"$3,506,602","$25,000,000","Apr 15, 2011",PG-13,2 hr 2 min,"Crime
    
        Drama
    
        History"
What's Your Number?,"$14,011,084","$16,415,012","$30,426,096",Twentieth Century Fox,"$5,421,669","$20,000,000","Sep 30, 2011",R,1 hr 46 min,"Comedy
    
        Romance"
One Day,"$13,843,771","$45,545,662","$59,389,433",Focus Features,"$5,079,566","$15,000,000","Aug 19, 2011",PG-13,1 hr 47 min,"Drama
    
        Romance"
Judy Moody and the Not Bummer Summer,"$15,013,650","$677,990","$15,691,640",Relativity Media,"$6,076,859","$20,000,000","Jun 10, 2011",PG,1 hr 33 min,"Comedy
    
        Family"
The Thing,"$16,928,670","$14,576,617","$31,505,287",Universal Pictures,"$8,493,665","$38,000,000","Oct 14, 2011",R,1 hr 43 min,"Horror
    
        Mystery
    
        Sci-Fi"
The Tourist,"$67,631,157","$211,149,284","$278,780,441",Sony Pictures Entertainment (SPE),"$16,472,458","$100,000,000","Dec 10, 2010",PG-13,1 hr 43 min,"Action
    
        Thriller"
Apollo 18,"$17,687,709","$8,548,444","$26,236,153",Dimension Films,"$8,704,271","$5,000,000","Sep 2, 2011",PG-13,1 hr 26 min,"Horror
    
        Mystery
    
        Sci-Fi
    
        Thriller"
Shark Night,"$18,877,153","$22,486,774","$41,363,927",Relativity Media,"$8,404,260","$25,000,000","Sep 2, 2011",PG-13,1 hr 30 min,"Horror
    
        Thriller"
Fright Night,"$18,302,607","$22,700,000","$41,002,607",Walt Disney Studios Motion Pictures,"$7,714,388","$30,000,000","Aug 19, 2011",R,1 hr 46 min,"Comedy
    
        Horror"
The Eagle,"$19,490,041","$18,499,643","$37,989,684",Focus Features,"$8,684,464","$25,000,000","Feb 11, 2011",PG-13,1 hr 54 min,"Action
    
        Adventure
    
        Drama
    
        History
    
        War"
The Three Musketeers,"$20,374,484","$111,900,000","$132,274,484",Summit Entertainment,"$8,674,452","$75,000,000","Oct 21, 2011",PG-13,1 hr 50 min,"Action
    
        Adventure
    
        Fantasy
    
        History
    
        Romance
    
        Thriller"
Conan the Barbarian,"$21,295,021","$42,228,262","$63,523,283",Lionsgate,"$10,021,215","$90,000,000","Aug 19, 2011",R,1 hr 53 min,"Action
    
        Adventure
    
        Fantasy"
Dream House,"$21,302,340","$18,682,060","$39,984,400",Universal Pictures,"$8,129,355","$50,000,000","Sep 30, 2011",PG-13,1 hr 32 min,"Drama
    
        Mystery
    
        Thriller"
Mars Needs Moms,"$21,392,758","$17,840,920","$39,233,678",Walt Disney Studios Motion Pictures,"$6,914,488","$150,000,000","Mar 11, 2011",PG,1 hr 28 min,"Action
    
        Adventure
    
        Animation
    
        Family
    
        Sci-Fi"
Big Hero 6,"$222,527,828","$435,300,000","$657,827,828",Walt Disney Studios Motion Pictures,"$56,215,889","$165,000,000","Nov 7, 2014",PG,1 hr 42 min,"Action
    
        Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Sci-Fi"
Dawn of the Planet of the Apes,"$208,545,589","$502,098,977","$710,644,566",Twentieth Century Fox,"$72,611,427","$170,000,000","Jul 11, 2014",PG-13,2 hr 10 min,"Action
    
        Adventure
    
        Drama
    
        Sci-Fi
    
        Thriller"
Maleficent,"$241,410,378","$517,000,000","$758,410,378",Walt Disney Studios Motion Pictures,"$69,431,298","$180,000,000","May 30, 2014",PG,1 hr 37 min,"Adventure
    
        Family
    
        Fantasy
    
        Romance"
Captain America: The Winter Soldier,"$259,766,572","$454,654,931","$714,421,503",Walt Disney Studios Motion Pictures,"$95,023,721","$170,000,000","Apr 4, 2014",PG-13,2 hr 16 min,"Action
    
        Adventure
    
        Sci-Fi
    
        Thriller"
X-Men: Days of Future Past,"$233,921,534","$512,124,166","$746,045,700",Twentieth Century Fox,"$90,823,660","$200,000,000","May 23, 2014",PG-13,2 hr 12 min,"Action
    
        Adventure
    
        Sci-Fi
    
        Thriller"
Transformers: Age of Extinction,"$245,439,076","$858,614,996","$1,104,054,072",Paramount Pictures,"$100,038,390","$210,000,000","Jun 27, 2014",PG-13,2 hr 45 min,"Action
    
        Adventure
    
        Sci-Fi"
The Hunger Games: Mockingjay - Part 1,"$337,135,885","$418,220,826","$755,356,711",Lionsgate,"$121,897,634","$125,000,000","Nov 21, 2014",PG-13,2 hr 3 min,"Action
    
        Adventure
    
        Sci-Fi
    
        Thriller"
Guardians of the Galaxy,"$333,176,600","$439,600,000","$772,776,600",Walt Disney Studios Motion Pictures,"$94,320,883","$170,000,000","Aug 1, 2014",PG-13,2 hr 1 min,"Action
    
        Adventure
    
        Comedy
    
        Sci-Fi"
The Lego Movie,"$257,760,692","$210,300,000","$468,060,692",Warner Bros.,"$69,050,279","$60,000,000","Feb 7, 2014",PG,1 hr 40 min,"Action
    
        Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy
    
        Sci-Fi"
Jack Reacher: Never Go Back,"$58,697,076","$103,449,000","$162,146,076",Paramount Pictures,"$22,872,490","$60,000,000","Oct 21, 2016",PG-13,1 hr 58 min,"Action
    
        Crime
    
        Drama
    
        Thriller"
Deepwater Horizon,"$61,433,527","$60,356,846","$121,790,373",Lionsgate,"$20,223,544","$110,000,000","Sep 30, 2016",PG-13,1 hr 47 min,"Action
    
        Drama
    
        History
    
        Thriller"
Miracles from Heaven,"$61,705,123","$12,277,880","$73,983,003",TriStar Pictures,"$14,812,393","$13,000,000","Mar 16, 2016",PG,1 hr 49 min,"Biography
    
        Drama
    
        Family"
The Boss,"$63,285,885","$15,558,697","$78,844,582",Universal Pictures,"$23,586,645","$29,000,000","Apr 8, 2016",R,1 hr 39 min,Comedy
