Movies,Domestic,International,Worldwild,Distributor,Opening,Budget,Release_Date,MPAA,Runing_Time,Genres
Alvin and the Chipmunks: The Squeakquel,"$219,614,612","$223,525,393","$443,140,005",Twentieth Century Fox,"$48,875,415","$75,000,000","Dec 23, 2009",PG,1 hr 28 min,"Adventure
    
        Animation
    
        Comedy
    
        Drama
    
        Family
    
        Fantasy
    
        Music
    
        Musical"
Due Date,"$100,539,043","$111,241,781","$211,780,824",Warner Bros.,"$32,689,406","$65,000,000","Nov 5, 2010",R,1 hr 35 min,"Comedy
    
        Drama"
Valentine's Day,"$110,485,654","$106,000,000","$216,485,654",Warner Bros.,"$56,260,707","$52,000,000","Feb 12, 2010",PG-13,2 hr 5 min,"Comedy
    
        Romance"
Jackass 3D,"$117,229,692","$54,456,100","$171,685,792",Paramount Pictures,"$50,353,641","$20,000,000","Oct 15, 2010",R,1 hr 34 min,"Action
    
        Comedy
    
        Documentary"
The Last Airbender,"$131,772,187","$187,941,694","$319,713,881",Paramount Pictures,"$40,325,019","$150,000,000","Jul 1, 2010",PG,1 hr 43 min,"Action
    
        Adventure
    
        Family
    
        Fantasy"
Megamind,"$148,415,853","$173,469,912","$321,885,765",DreamWorks,"$46,016,833","$130,000,000","Nov 5, 2010",PG,1 hr 35 min,"Action
    
        Animation
    
        Comedy
    
        Crime
    
        Family
    
        Mystery
    
        Sci-Fi
    
        Thriller"
TRON: Legacy,"$172,062,763","$228,000,000","$400,062,763",Walt Disney Studios Motion Pictures,"$44,026,211","$170,000,000","Dec 17, 2010",PG,2 hr 5 min,"Action
    
        Adventure
    
        Sci-Fi"
Salt,"$118,311,368","$175,191,986","$293,503,354",Sony Pictures Entertainment (SPE),"$36,011,243","$110,000,000","Jul 23, 2010",PG-13,1 hr 40 min,"Action
    
        Thriller"
The Other Guys,"$119,219,978","$51,238,944","$170,458,922",Sony Pictures Entertainment (SPE),"$35,543,162","$100,000,000","Aug 6, 2010",PG-13,1 hr 47 min,"Action
    
        Comedy
    
        Crime"
Shutter Island,"$128,012,934","$166,791,261","$294,804,195",Paramount Pictures,"$41,062,440","$80,000,000","Feb 19, 2010",R,2 hr 18 min,"Mystery
    
        Thriller"
Grown Ups,"$162,001,186","$109,429,003","$271,430,189",Sony Pictures Entertainment (SPE),"$40,506,562","$80,000,000","Jun 25, 2010",PG-13,1 hr 42 min,Comedy
Tangled,"$200,821,936","$391,639,796","$592,461,732",Walt Disney Studios Motion Pictures,"$48,767,052","$260,000,000","Nov 24, 2010",PG,1 hr 40 min,"Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy
    
        Musical
    
        Romance"
The Karate Kid,"$176,591,618","$182,534,404","$359,126,022",Sony Pictures Entertainment (SPE),"$55,665,805","$40,000,000","Jun 11, 2010",PG,2 hr 20 min,"Action
    
        Drama
    
        Family
    
        Sport"
Clash of the Titans,"$163,214,888","$330,000,105","$493,214,993",Warner Bros.,"$61,235,105","$125,000,000","Apr 2, 2010",PG-13,1 hr 46 min,"Action
    
        Adventure
    
        Fantasy"
How to Train Your Dragon,"$217,581,231","$277,297,528","$494,878,759",DreamWorks,"$43,732,319","$165,000,000","Mar 26, 2010",PG,1 hr 38 min,"Action
    
        Adventure
    
        Animation
    
        Comedy
    
        Family
    
        Fantasy"
